time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-12-05T07:49:29.200Z,19.4426,-66.0135,11,3.32,md,3,353,1.3226,0.17,pr,pr2017339003,2017-12-05T12:03:03.579Z,"108km N of San Juan, Puerto Rico",earthquake,9.37,13.55,0.04,3,reviewed,pr,pr
2017-12-05T07:31:44.780Z,31.7996667,-116.0483333,5.03,3.66,ml,26,128,0.2216,0.28,ci,ci37823215,2017-12-05T15:34:09.082Z,"50km E of Maneadero, B.C., MX",earthquake,0.41,31.61,0.143,236,reviewed,ci,ci
2017-12-05T07:26:47.220Z,27.8961,51.9316,41.06,4.9,mb,,60,4.828,0.94,us,us1000bmal,2017-12-05T13:07:26.341Z,"122km SSW of Firuzabad, Iran",earthquake,8.4,3.4,0.072,61,reviewed,us,us
2017-12-05T06:10:40.206Z,55.1026,-157.5639,25.8,3.3,ml,,,,0.48,ak,ak17466608,2017-12-05T16:43:19.522Z,"132km ENE of Chernabura Island, Alaska",earthquake,,1.1,,,reviewed,ak,ak
2017-12-05T04:53:51.220Z,36.3689,-97.1404,7.95,2.8,mb_lg,,76,0.118,0.15,us,us1000bm9w,2017-12-06T00:30:46.054Z,"15km NE of Perry, Oklahoma",earthquake,1.2,3,0.255,4,reviewed,us,us
2017-12-05T04:26:38.330Z,36.3731,-97.1491,3.3,4.2,mwr,,51,0.126,0.26,us,us1000bm9m,2017-12-06T01:28:09.054Z,"15km NE of Perry, Oklahoma",earthquake,0.8,5.5,0.038,67,reviewed,us,us
2017-12-05T04:16:13.170Z,17.2818,-66.6536,27,2.58,md,3,334,0.8561,0.39,pr,pr2017339001,2017-12-05T08:02:50.481Z,"79km S of Tallaboa, Puerto Rico",earthquake,4.31,32.509,0,1,reviewed,pr,pr
2017-12-05T02:24:27.960Z,18.2241,-68.3513,146,3.33,md,7,166,0.2914,0.39,pr,pr2017339000,2017-12-05T05:58:40.905Z,"32km ESE of Boca de Yuma, Dominican Republic",earthquake,4.48,2.44,0.28,3,reviewed,pr,pr
2017-12-05T00:44:22.990Z,35.9506667,-119.7528333,21.73,2.96,ml,57,77,0.3096,0.13,nc,nc72935206,2017-12-05T07:59:34.434Z,"20km ESE of Kettleman City, CA",earthquake,0.29,0.3,0.182,15,reviewed,nc,nc
2017-12-05T00:31:59.090Z,36.5584,-98.5533,5,2.8,mb_lg,,76,0.171,0.4,us,us1000bl7u,2017-12-05T08:34:32.378Z,"25km W of Helena, Oklahoma",earthquake,3,2,0.067,58,reviewed,us,us
2017-12-05T00:22:49.700Z,-2.6393,28.915,10,4.6,mb,,95,8.467,0.6,us,us1000bl7t,2017-12-05T04:10:06.538Z,"15km SSE of Bukavu, Democratic Republic of the Congo",earthquake,9.2,1.9,0.092,35,reviewed,us,us
2017-12-04T23:37:25.430Z,51.8905,-172.7273,32.66,4.3,mb,,172,0.929,0.84,us,us1000bl7k,2017-12-05T00:05:14.040Z,"106km ESE of Atka, Alaska",earthquake,6.6,6.5,0.044,150,reviewed,us,us
2017-12-04T23:31:00.178Z,65.2896,-142.9357,15.5,2.6,ml,,,,0.78,ak,ak17463435,2017-12-04T23:41:01.040Z,"79km SE of Circle, Alaska",earthquake,,1.4,,,automatic,ak,ak
2017-12-04T22:53:14.690Z,-1.6571,-78.1521,154.19,4.3,mb,,41,0.735,1.06,us,us1000bl7f,2017-12-05T00:12:13.040Z,"24km W of Palora, Ecuador",earthquake,8.1,7.1,0.073,53,reviewed,us,us
2017-12-04T22:11:02.900Z,49.4425,-120.5418333,-1.5,2.54,ml,12,268,0.9507,0.25,uw,uw61333007,2017-12-05T21:39:45.800Z,"2km SW of Princeton, Canada",explosion,5.37,31.61,0.2,10,reviewed,uw,uw
2017-12-04T22:08:35.630Z,42.0899,-25.6965,10,4.8,mb,,37,3.887,0.81,us,us1000bl5d,2017-12-05T05:14:16.758Z,"Azores Islands region",earthquake,9,1.8,0.046,149,reviewed,us,us
2017-12-04T20:13:34.110Z,17.0995,-66.3113,98,2.97,md,3,338,1.1375,0.23,pr,pr2017338008,2017-12-05T00:48:15.208Z,"94km S of Central Aguirre, Puerto Rico",earthquake,10.99,15.28,0.02,2,reviewed,pr,pr
2017-12-04T18:07:20.350Z,-7.1924,146.1379,161.1,4.6,mb,,125,2.419,0.83,us,us1000bl0b,2017-12-04T19:00:24.040Z,"56km W of Bulolo, Papua New Guinea",earthquake,11.3,7.9,0.077,50,reviewed,us,us
2017-12-04T16:56:51.260Z,19.1363,-67.6073,71,3.15,md,8,235,0.9933,0.38,pr,pr2017338007,2017-12-04T19:42:57.040Z,"92km NE of Punta Cana, Dominican Republic",earthquake,4.58,8.3,0.12,5,reviewed,pr,pr
2017-12-04T16:39:03.540Z,19.2693333,-155.3813333,0.801,2.75,ml,50,120,,0.18,hv,hv61995946,2017-12-04T19:51:41.650Z,"12km NE of Pahala, Hawaii",earthquake,0.34,0.5,0.185,30,reviewed,hv,hv
2017-12-04T15:01:44.160Z,51.3213,-178.2134,35,2.9,ml,,204,0.476,0.27,us,us1000bl11,2017-12-04T19:46:58.040Z,"62km E of Amatignak Island, Alaska",earthquake,4.5,2,,,reviewed,us,ak
2017-12-04T14:38:00.070Z,36.098,-117.774,6.57,2.5,ml,32,53,0.06833,0.14,ci,ci37822831,2017-12-04T20:37:42.570Z,"17km ENE of Coso Junction, CA",earthquake,0.17,0.5,0.231,26,reviewed,ci,ci
2017-12-04T14:17:54.030Z,38.0846,72.8758,128.06,4,mb,,78,2.062,0.63,us,us1000bkww,2017-12-04T15:08:23.040Z,"96km W of Murghob, Tajikistan",earthquake,7.2,14.7,0.3,3,reviewed,us,us
2017-12-04T13:21:03.280Z,19.47,-66.081,33,3.15,md,8,284,1.3095,0.32,pr,pr2017338006,2017-12-04T16:32:13.040Z,"112km N of San Juan, Puerto Rico",earthquake,2.57,24.01,0.06,5,reviewed,pr,pr
2017-12-04T11:58:29.100Z,19.4263,-66.1548,33,3.46,md,8,291,1.2347,0.29,pr,pr2017338005,2017-12-04T12:45:25.040Z,"106km N of San Juan, Puerto Rico",earthquake,2.21,19.9,0.16,5,reviewed,pr,pr
2017-12-04T11:52:23.830Z,-9.6257,123.0085,35,5.3,mb,,68,5.605,1.48,us,us1000bkwg,2017-12-05T16:18:05.040Z,"83km W of Naisano Dua, Indonesia",earthquake,8.7,1.9,0.063,85,reviewed,us,us
2017-12-04T10:29:52.499Z,62.124,-151.5731,95.5,2.5,ml,,,,0.32,ak,ak17457865,2017-12-04T10:39:10.683Z,"79km WSW of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-12-04T10:23:35.695Z,55.8158,-155.9929,58.7,4.3,ml,,,,1.09,ak,ak17456947,2017-12-04T10:55:20.471Z,"23km W of Chirikof Island, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2017-12-04T10:19:21.600Z,18.2325,-67.0843,21,2.68,md,7,138,0.0568,0.11,pr,pr2017338003,2017-12-04T10:39:05.109Z,"6km ENE of Mayaguez, Puerto Rico",earthquake,0.5,0.6,0.47,5,reviewed,pr,pr
2017-12-04T08:59:38.490Z,21.8068,121.3251,10,5,mb,,109,1.031,1.39,us,us1000bkvb,2017-12-05T16:35:01.040Z,"63km ESE of Hengchun, Taiwan",earthquake,4.3,1.6,0.066,72,reviewed,us,us
2017-12-04T08:49:21.460Z,19.0208,-65.7076,42,2.96,md,3,356,1.2447,0.08,pr,pr2017338004,2017-12-04T11:59:00.331Z,"67km N of Vieques, Puerto Rico",earthquake,6.26,5.83,0.32,3,reviewed,pr,pr
2017-12-04T08:08:36.902Z,59.6473,-152.9201,98.3,2.8,ml,,,,0.54,ak,ak17456031,2017-12-04T08:23:28.850Z,"62km WSW of Anchor Point, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-12-04T08:07:44.010Z,19.516,-66.1488,63,3.49,md,15,271,1.2008,0.66,pr,pr2017338002,2017-12-04T08:35:21.040Z,"116km N of San Juan, Puerto Rico",earthquake,5.85,17.44,0.32,12,reviewed,pr,pr
2017-12-04T07:54:14.980Z,33.1217,132.1708,23.13,4.6,mb,,90,1.085,1.18,us,us1000bkuf,2017-12-04T08:16:34.040Z,"29km E of Tsukumi, Japan",earthquake,8.9,5.3,0.119,21,reviewed,us,us
